# # Time 	 Separation 	 Orbital Phase 
# 
3.120960000000000036e+02	8.794323379857562628e+00	9.677595303390173598e+00
3.121920000000000073e+02	8.794161360220472901e+00	9.680890200432063608e+00
3.122880000000000109e+02	8.793999490469925462e+00	9.684185511961580062e+00
3.123840000000000146e+02	8.793836549642545464e+00	9.687480052981292999e+00
3.124800000000000182e+02	8.793672973098495049e+00	9.690774214763781202e+00
3.125760000000000218e+02	8.793507406873821708e+00	9.694068863561467353e+00
3.126720000000000255e+02	8.793340427098495837e+00	9.697362546841585385e+00
3.127679999999999723e+02	8.793173666381923326e+00	9.700656879451061698e+00
3.128639999999999759e+02	8.793006229753787650e+00	9.703950281392838662e+00
3.129599999999999795e+02	8.792838764276861951e+00	9.707243500894655597e+00
3.130559999999999832e+02	8.792671199053829767e+00	9.710536572547358247e+00
3.131519999999999868e+02	8.792503028076891880e+00	9.713828579386134976e+00
3.132479999999999905e+02	8.792335158262032380e+00	9.717121152691088781e+00
3.133439999999999941e+02	8.792166390344572591e+00	9.720412623404330432e+00
3.134399999999999977e+02	8.791996299981418517e+00	9.723704248723374022e+00
3.135360000000000014e+02	8.791824957056659784e+00	9.726995864220512544e+00
3.136320000000000050e+02	8.791652629462022972e+00	9.730286678360977604e+00
3.137280000000000086e+02	8.791480560394177246e+00	9.733577985640383901e+00
3.138240000000000123e+02	8.791307666539232457e+00	9.736868165730038882e+00
3.139200000000000159e+02	8.791135229018863129e+00	9.740158389405394246e+00
3.140160000000000196e+02	8.790962501178773536e+00	9.743448095429593891e+00
3.141120000000000232e+02	8.790789160493345022e+00	9.746737012409036893e+00
3.142080000000000268e+02	8.790615680851416869e+00	9.750026280606816087e+00
3.143039999999999736e+02	8.790440422285245248e+00	9.753314898289584534e+00
3.143999999999999773e+02	8.790264795379549412e+00	9.756603808007239920e+00
3.144959999999999809e+02	8.790088817643585628e+00	9.759892153385816727e+00
3.145919999999999845e+02	8.789912222130102037e+00	9.763179783775846943e+00
3.146879999999999882e+02	8.789736006956793801e+00	9.766467602495854550e+00
3.147839999999999918e+02	8.789559101091086291e+00	9.769754211506342045e+00
3.148799999999999955e+02	8.789382038152535159e+00	9.773040974478332643e+00
3.149759999999999991e+02	8.789204222465631489e+00	9.776327129933292781e+00
3.150720000000000027e+02	8.789023803276922564e+00	9.779613091114475409e+00
3.151680000000000064e+02	8.788843289178004170e+00	9.782899382911004693e+00
3.152640000000000100e+02	8.788661875759004261e+00	9.786184545452663031e+00
3.153600000000000136e+02	8.788480500719417776e+00	9.789469881994495637e+00
3.154560000000000173e+02	8.788298942043585527e+00	9.792754504682916306e+00
3.155520000000000209e+02	8.788116761663303578e+00	9.796038388700445410e+00
3.156480000000000246e+02	8.787934327491484510e+00	9.799322570507367658e+00
3.157440000000000282e+02	8.787749256709066259e+00	9.802606046191581157e+00
3.158399999999999750e+02	8.787563568766465494e+00	9.805889916904883208e+00
3.159359999999999786e+02	8.787377204297587951e+00	9.809173236880857516e+00
3.160319999999999823e+02	8.787190401771299619e+00	9.812455749499717328e+00
3.161279999999999859e+02	8.787003951033796056e+00	9.815738592559021924e+00
3.162239999999999895e+02	8.786816450592821681e+00	9.819020248067804602e+00
3.163199999999999932e+02	8.786628632209612988e+00	9.822302062199653960e+00
3.164159999999999968e+02	8.786438276159465488e+00	9.825584002661738481e+00
3.165120000000000005e+02	8.786246691553268207e+00	9.828865144811203436e+00
3.166080000000000041e+02	8.786055515298279772e+00	9.832146809424346046e+00
3.167040000000000077e+02	8.785863730016769679e+00	9.835427289983302401e+00
3.168000000000000114e+02	8.785671789117385444e+00	9.838707692701296637e+00
3.168960000000000150e+02	8.785479364653534518e+00	9.841987808215836964e+00
3.169920000000000186e+02	8.785284529820730270e+00	9.845267261974935735e+00
3.170880000000000223e+02	8.785089188689171991e+00	9.848547679236956398e+00
3.171840000000000259e+02	8.784892906832554971e+00	9.851827088146803746e+00
3.172799999999999727e+02	8.784696377977626369e+00	9.855106176499406345e+00
3.173759999999999764e+02	8.784499998272796262e+00	9.858385171575424266e+00
