# # Time 	 Separation 	 Orbital Phase 
# 
9.167999999999999545e+02	4.211177439761802261e-15	1.932076340754164505e+02
9.170399999999999636e+02	4.121124277973980585e-15	1.932367376896408189e+02
9.172799999999999727e+02	4.188709149963368784e-15	1.963188138047122209e+02
9.175199999999999818e+02	4.100412655313875348e-15	1.963456470002537344e+02
9.177599999999999909e+02	4.094427085636945509e-15	1.963273946466539712e+02
9.180000000000000000e+02	4.011132889508706533e-15	1.963528615531602384e+02
9.182400000000000091e+02	3.932136131290131464e-15	1.963781781048061816e+02
9.184800000000000182e+02	3.969365292256820716e-15	1.994744220868659283e+02
9.187200000000000273e+02	3.974418001068428444e-15	1.994515095336267620e+02
9.189600000000000364e+02	3.897227191678049275e-15	1.994729434212927686e+02
9.192000000000000455e+02	3.786402809702532822e-15	1.995180016390592073e+02
9.194400000000000546e+02	3.793835755446825124e-15	2.026322536855167584e+02
9.196799999999999500e+02	3.806273132740439330e-15	2.026034071693079284e+02
9.199199999999999591e+02	3.702080100264500703e-15	2.026456283123715423e+02
9.201599999999999682e+02	3.718377625518871604e-15	2.057554393062777933e+02
9.203999999999999773e+02	3.696859947319731373e-15	2.057467137852752899e+02
9.206399999999999864e+02	3.600017623638626552e-15	2.057872656324798584e+02
9.208799999999999955e+02	3.583051934477845237e-15	2.057768673963908554e+02
9.211200000000000045e+02	3.569088042850894538e-15	2.089070659664142795e+02
9.213600000000000136e+02	3.599161296980883038e-15	2.088696119857400788e+02
9.216000000000000227e+02	3.429575290103500984e-15	2.089589027551722609e+02
9.218400000000000318e+02	3.495614217235086355e-15	2.120324174903318237e+02
9.220800000000000409e+02	3.446774909474480291e-15	2.120417089662971364e+02
9.223200000000000500e+02	3.441353088953634814e-15	2.120241025034783320e+02
9.225599999999999454e+02	3.318695083738424221e-15	2.120853280227553910e+02
9.227999999999999545e+02	3.277518348055148989e-15	2.120924912017303541e+02
9.230399999999999636e+02	3.237921821723670577e-15	2.120988041530616783e+02
9.232799999999999727e+02	3.200763014896594356e-15	2.121040501046516056e+02
9.235199999999999818e+02	3.239486687860376426e-15	2.151926431001002413e+02
9.237599999999999909e+02	3.204099816260538761e-15	2.151951336521020721e+02
9.240000000000000000e+02	3.170412573203981946e-15	2.151966316251874787e+02
9.242400000000000091e+02	3.138152193217926456e-15	2.151968584466222580e+02
9.244800000000000182e+02	3.108324308828201954e-15	2.151959298961225215e+02
9.247200000000000273e+02	3.080368397851946241e-15	2.151941444389325113e+02
9.249600000000000364e+02	3.054373484352791430e-15	2.151909382045582788e+02
9.252000000000000455e+02	2.954833018904417533e-15	2.152482275555676097e+02
9.254400000000000546e+02	2.931813775928892706e-15	2.152428976985444251e+02
9.256799999999999500e+02	2.909816213284029832e-15	2.152369022076970850e+02
9.259199999999999591e+02	2.889881339965653084e-15	2.152296628545047383e+02
9.261599999999999682e+02	2.951856954800207134e-15	2.183001284416494912e+02
9.263999999999999773e+02	2.895351189518253871e-15	2.183199535608341080e+02
9.266399999999999864e+02	2.884237122926828014e-15	2.183083602158893370e+02
9.268799999999999955e+02	2.757933792020803225e-15	2.183920784325786997e+02
9.271200000000000045e+02	2.746490069558690869e-15	2.183778020475939172e+02
9.273600000000000136e+02	2.817679805579730033e-15	2.214382531413336892e+02
9.276000000000000227e+02	2.770990820321250133e-15	2.214538402174866860e+02
9.278400000000000318e+02	2.650758603072798570e-15	2.215364648809273831e+02
9.280800000000000409e+02	2.645377221677753428e-15	2.215172421017078932e+02
9.283200000000000500e+02	2.680755283763338515e-15	2.246036815906215622e+02
9.285599999999999454e+02	2.640958198386296816e-15	2.246158453370179586e+02
9.287999999999999545e+02	2.565195105721149074e-15	2.246626541269885706e+02
9.290399999999999636e+02	2.605214791829478791e-15	2.277440369030514375e+02
9.292799999999999727e+02	2.495530028954922338e-15	2.278255234818708459e+02
9.295199999999999818e+02	2.497416840332094308e-15	2.277977472752817505e+02
9.297599999999999909e+02	2.542919941610322595e-15	2.308747309068135110e+02
9.300000000000000000e+02	2.434648226640477820e-15	2.309548028178841435e+02
9.302400000000000091e+02	2.480932116439306184e-15	2.340275244170035194e+02
9.304800000000000182e+02	2.378550818085949922e-15	2.341069315081525986e+02
9.307200000000000273e+02	2.468873297509675399e-15	2.371383156933056569e+02
9.309600000000000364e+02	2.328146297335854662e-15	2.372537083535479212e+02
9.312000000000000455e+02	2.421454427412865505e-15	2.402802123136547152e+02
9.314400000000000546e+02	2.283598568160066083e-15	2.403956070223034942e+02
9.316799999999999500e+02	2.336558077136401977e-15	2.434553579693264282e+02
9.319199999999999591e+02	2.241585593824279941e-15	2.435321453585459608e+02
9.321599999999999682e+02	2.297980198171352465e-15	2.465882102386125325e+02
9.323999999999999773e+02	2.205118193656790518e-15	2.466636305473849973e+02
9.326399999999999864e+02	2.267737778825652009e-15	2.497173799743603695e+02
9.328799999999999955e+02	2.174762768861546072e-15	2.497915582874779545e+02
9.331200000000000045e+02	2.126686808065162863e-15	2.498258768176712010e+02
9.333600000000000136e+02	2.188881176823750140e-15	2.528722573612139684e+02
9.336000000000000227e+02	2.102068961800862997e-15	2.529462206019562984e+02
9.338400000000000318e+02	2.171373861226196038e-15	2.559900639713051191e+02
9.340800000000000409e+02	2.122021136433649293e-15	2.560181327650987555e+02
9.343200000000000500e+02	2.039752722317532494e-15	2.560911626922998607e+02
9.345599999999999454e+02	2.070636986917087216e-15	2.591718877146903424e+02
9.347999999999999545e+02	2.066755248554664579e-15	2.591543005978020346e+02
9.350399999999999636e+02	1.986338557653424879e-15	2.592258899342147060e+02
9.352799999999999727e+02	1.947812368711977456e-15	2.592530943977791367e+02
9.355199999999999818e+02	2.022059860604896955e-15	2.622808672180290728e+02
9.357599999999999909e+02	2.023925396670381979e-15	2.622586509644386865e+02
9.360000000000000000e+02	1.906654674158919930e-15	2.623738942887341636e+02
9.362400000000000091e+02	1.872397716507744949e-15	2.623973500887555588e+02
9.364800000000000182e+02	1.951242999857342771e-15	2.654175072649979370e+02
9.367200000000000273e+02	1.915109635508101897e-15	2.654365986886534756e+02
9.369600000000000364e+02	1.842657482141583324e-15	2.655044621688728057e+02
9.372000000000000455e+02	1.811676194794083816e-15	2.655243128331533740e+02
9.374400000000000546e+02	1.781708949858724583e-15	2.655432847188600931e+02
9.376799999999999500e+02	1.865758603766990707e-15	2.685511906715025816e+02
9.379199999999999591e+02	1.834215929094214523e-15	2.685655649051878981e+02
9.381599999999999682e+02	1.804608395567661788e-15	2.685797407105966954e+02
9.383999999999999773e+02	1.738338479938346615e-15	2.686445915398737156e+02
9.386399999999999864e+02	1.712853995670024025e-15	2.686586455511635450e+02
9.388799999999999955e+02	1.688011684876901493e-15	2.686715788374775684e+02
9.391200000000000045e+02	1.664694130625742499e-15	2.686839921997749911e+02
9.393600000000000136e+02	1.641786843331955565e-15	2.686948705668069692e+02
9.396000000000000227e+02	1.733442468910736888e-15	2.716831472138525783e+02
9.398400000000000318e+02	1.710567712466405494e-15	2.716901334904714531e+02
9.400800000000000409e+02	1.689303431289876752e-15	2.716960514624923348e+02
9.403200000000000500e+02	1.668791181178033630e-15	2.717015600176567318e+02
9.405599999999999454e+02	1.649097699869345046e-15	2.717060442069720239e+02
9.407999999999999545e+02	1.630286673399054241e-15	2.717086602476311441e+02
9.410399999999999636e+02	1.612579374350827605e-15	2.717108844025505050e+02
9.412799999999999727e+02	1.596016536953888044e-15	2.717118075746596446e+02
9.415199999999999818e+02	1.581128056003427001e-15	2.717113214098058052e+02
9.417599999999999909e+02	1.567687469137637672e-15	2.717083030898953666e+02
9.420000000000000000e+02	1.555208442016225100e-15	2.717047883653408462e+02
9.422400000000000091e+02	1.543602718537661502e-15	2.716996025177268734e+02
9.424800000000000182e+02	1.534030242628520979e-15	2.716933123404106709e+02
9.427200000000000273e+02	1.525313643280802754e-15	2.716861077181749238e+02
9.429600000000000364e+02	1.517130383230500179e-15	2.716781475908458674e+02
9.432000000000000455e+02	1.465939059526346894e-15	2.717284924735436107e+02
9.434400000000000546e+02	1.386492093467998390e-15	2.718473354890943483e+02
9.436799999999999500e+02	1.378885061670178784e-15	2.718357854273579619e+02
9.439199999999999591e+02	1.370800962874819699e-15	2.718229680480536672e+02
9.441599999999999682e+02	1.364299544814764006e-15	2.718089253672128507e+02
9.443999999999999773e+02	1.358299706123303078e-15	2.717928404733871162e+02
9.446399999999999864e+02	1.393828356316733995e-15	2.748514380161984150e+02
9.448799999999999955e+02	1.392372154849036269e-15	2.748341012240106807e+02
9.451200000000000045e+02	1.391804833630911756e-15	2.748157598874018959e+02
9.453600000000000136e+02	1.276557082620214625e-15	2.750008573910980658e+02
9.456000000000000227e+02	1.273773195994009908e-15	2.749782192448639080e+02
9.458400000000000318e+02	1.271770756428819599e-15	2.749544211098266828e+02
9.460800000000000409e+02	1.354047711951303657e-15	2.779336814002685401e+02
9.463200000000000500e+02	1.312661064349700462e-15	2.779758587798572762e+02
9.465599999999999454e+02	1.317608121746882845e-15	2.779492151746665058e+02
9.467999999999999545e+02	1.205230721426034835e-15	2.781380846977640999e+02
9.470399999999999636e+02	1.205782258842643065e-15	2.781071289491224547e+02
9.472799999999999727e+02	1.291327221816213522e-15	2.810722674211125991e+02
9.475199999999999818e+02	1.253714480120362618e-15	2.811105447429850415e+02
9.477599999999999909e+02	1.263047277327433502e-15	2.810782131706838527e+02
9.480000000000000000e+02	1.152142548567807798e-15	2.812700030029619711e+02
9.482400000000000091e+02	1.156033808831062830e-15	2.812316199761409621e+02
9.484800000000000182e+02	1.203347958655184532e-15	2.842585113796925498e+02
9.487200000000000273e+02	1.215248676955287026e-15	2.842204174455769703e+02
9.489600000000000364e+02	1.107495452125575632e-15	2.844150763873864207e+02
9.492000000000000455e+02	1.112875277446774089e-15	2.843706677652849635e+02
9.494400000000000546e+02	1.163843431028694902e-15	2.873890424626691242e+02
9.496799999999999500e+02	1.133514812259711661e-15	2.874212731555952587e+02
9.499199999999999591e+02	1.071362380197050635e-15	2.875395760736288935e+02
9.501599999999999682e+02	1.121468834147093126e-15	2.905462316692472200e+02
9.503999999999999773e+02	1.139919171806782507e-15	2.904973008017907432e+02
9.506399999999999864e+02	1.036673684637809374e-15	2.906943382452012656e+02
9.508799999999999955e+02	1.087015746844248957e-15	2.936921211261191047e+02
9.511200000000000045e+02	1.108268353388051153e-15	2.936378175423572543e+02
9.513600000000000136e+02	1.006864596973307665e-15	2.938370285130313277e+02
9.516000000000000227e+02	1.060138988547288869e-15	2.968273540743138028e+02
9.518400000000000318e+02	1.083553360737741153e-15	2.967695409997243132e+02
9.520800000000000409e+02	9.820898982120356826e-16	2.969698158353030522e+02
9.523200000000000500e+02	1.038480338402775381e-15	2.999550700820630595e+02
9.525599999999999454e+02	9.475414297772366744e-16	3.001644940467261335e+02
9.527999999999999545e+02	9.604001163516551455e-16	3.000901987587806730e+02
9.530399999999999636e+02	1.022959626672586308e-15	3.030704832957383701e+02
9.532799999999999727e+02	9.284204003712994083e-16	3.032792330203920983e+02
9.535199999999999818e+02	9.839264336542049197e-16	3.062483449730352731e+02
9.537599999999999909e+02	9.659941366094121175e-16	3.062654914184001314e+02
9.540000000000000000e+02	9.128090060264923528e-16	3.063819442856319029e+02
9.542400000000000091e+02	9.776398926556981336e-16	3.093485199601620366e+02
9.544800000000000182e+02	8.852758869878220104e-16	3.095609306675637526e+02
9.547200000000000273e+02	9.452305424159189441e-16	3.125171320378013888e+02
9.549600000000000364e+02	8.594827327373359191e-16	3.127374029077905107e+02
9.552000000000000455e+02	9.620997621944112968e-16	3.155908866713024850e+02
9.554400000000000546e+02	9.474381811436432097e-16	3.156004564880125827e+02
9.556799999999999500e+02	8.516241116664958496e-16	3.158124068056999363e+02
9.559199999999999591e+02	9.207108569937149575e-16	3.187599967743410048e+02
9.561599999999999682e+02	8.293932846089965106e-16	3.189774142856687149e+02
9.563999999999999773e+02	8.960404799934072666e-16	3.219161023297353950e+02
9.566399999999999864e+02	8.083993072670328164e-16	3.221390044753630946e+02
9.568799999999999955e+02	8.730621909465082797e-16	3.250689459549734579e+02
9.571200000000000045e+02	7.891683595845439016e-16	3.252966720532227214e+02
9.573600000000000136e+02	8.526264409905859136e-16	3.282170999306989643e+02
9.576000000000000227e+02	7.709719431861557789e-16	3.284485790764149442e+02
9.578400000000000318e+02	8.340000264610498138e-16	3.313622614358141050e+02
9.580800000000000409e+02	7.543964073782974460e-16	3.315968646509705309e+02
9.583200000000000500e+02	8.178076692318805120e-16	3.345035454650711699e+02
9.585599999999999454e+02	7.393376711300948430e-16	3.347415354650049721e+02
9.587999999999999545e+02	8.040468334067982711e-16	3.376412307741431960e+02
9.590399999999999636e+02	7.263831325690028565e-16	3.378801034870189142e+02
9.592799999999999727e+02	7.927491954937340980e-16	3.407741442692699820e+02
9.595199999999999818e+02	7.143605889480083552e-16	3.410141268004741733e+02
9.597599999999999909e+02	7.829350212491379397e-16	3.439030310279255218e+02
9.600000000000000000e+02	7.022604114589146462e-16	3.441433985611333810e+02
9.602400000000000091e+02	7.744674476731101085e-16	3.470280366050595831e+02
9.604800000000000182e+02	6.918308339370141606e-16	3.472665691158206300e+02
9.607200000000000273e+02	7.689466525382809669e-16	3.501469119561331809e+02
9.609600000000000364e+02	6.826350836833746644e-16	3.503822392473600758e+02
9.612000000000000455e+02	7.166193460145340093e-16	3.533781038906437857e+02
9.614400000000000546e+02	7.148660547895616293e-16	3.533632409775772203e+02
9.616799999999999500e+02	6.454437553362888465e-16	3.536227498531195010e+02
9.619199999999999591e+02	7.137558338664168843e-16	3.564738323254496777e+02
9.621599999999999682e+02	6.385943290106918054e-16	3.567282601410365714e+02
9.623999999999999773e+02	7.148187264620846429e-16	3.595781418538783214e+02
9.626399999999999864e+02	6.336725679917326305e-16	3.598260824719073980e+02
9.628799999999999955e+02	7.182164394753851273e-16	3.626772808410290736e+02
9.631200000000000045e+02	6.702677051519056811e-16	3.627777372480815075e+02
9.633600000000000136e+02	6.024163254910901770e-16	3.630462439640520529e+02
9.636000000000000227e+02	6.760425853919661146e-16	3.658712584178018119e+02
9.638400000000000318e+02	5.992478414334897556e-16	3.661300929403034843e+02
9.640800000000000409e+02	6.839195643734884022e-16	3.689598555244065210e+02
9.643200000000000500e+02	6.375707447292292021e-16	3.690606197629915073e+02
9.645599999999999454e+02	5.719663255632791030e-16	3.693377480078124222e+02
9.647999999999999545e+02	6.480001673246711749e-16	3.721411932658380692e+02
9.650399999999999636e+02	5.708527028408692658e-16	3.724035016043193878e+02
9.652799999999999727e+02	5.478704525190452555e-16	3.725350637970785215e+02
9.655199999999999818e+02	6.164143249027424257e-16	3.753152058933170565e+02
9.657599999999999909e+02	5.475285586185107985e-16	3.755932126166133571e+02
9.660000000000000000e+02	6.315878752763787610e-16	3.783830596377898132e+02
9.662400000000000091e+02	5.881948587256000505e-16	3.784827340970379623e+02
9.664800000000000182e+02	5.259928387648416048e-16	3.787759139953353724e+02
9.667200000000000273e+02	6.056636413339589589e-16	3.815439407437337991e+02
9.669600000000000364e+02	5.275297443922003841e-16	3.818130609012468994e+02
9.672000000000000455e+02	5.070434452052324418e-16	3.819459638034697946e+02
9.674400000000000546e+02	5.843322304163881631e-16	3.846953741525308033e+02
9.676799999999999500e+02	5.094639503340373109e-16	3.849736731883942866e+02
9.679199999999999591e+02	4.897911754750139772e-16	3.851073652396059401e+02
9.681599999999999682e+02	5.658247402941640884e-16	3.878377061025472585e+02
9.683999999999999773e+02	4.929566347759396811e-16	3.881234149058474827e+02
9.686399999999999864e+02	4.742396561860129811e-16	3.882584538213947667e+02
9.688799999999999955e+02	5.508889253770253809e-16	3.909734379204431320e+02
9.691200000000000045e+02	4.781331621497742198e-16	3.912632601686569274e+02
9.693600000000000136e+02	4.603567531403832245e-16	3.913977072663310537e+02
9.696000000000000227e+02	5.399676099966774287e-16	3.940987551899941650e+02
9.698400000000000318e+02	4.654512155376833314e-16	3.943874914584812359e+02
9.700800000000000409e+02	4.484948472678296878e-16	3.945232900911454408e+02
9.703200000000000500e+02	5.327790499779204982e-16	3.972160160903114274e+02
9.705599999999999454e+02	4.949867416600048130e-16	3.973121742251698834e+02
9.707999999999999545e+02	4.375853778654867229e-16	3.976375378516644901e+02
9.710399999999999636e+02	5.288932462856428151e-16	4.003212275128129818e+02
9.712799999999999727e+02	4.913741558349457418e-16	4.004183945375771145e+02
9.715199999999999818e+02	4.274437676122853882e-16	4.007384220229275229e+02
9.717599999999999909e+02	4.127948475181974071e-16	4.008763149981257925e+02
9.720000000000000000e+02	4.908177994191605892e-16	4.035145153721293809e+02
9.722400000000000091e+02	4.186730924106606570e-16	4.038197560771939720e+02
9.724800000000000182e+02	4.042047761882028738e-16	4.039581745463848961e+02
9.727200000000000273e+02	4.946480128552364154e-16	4.065952965786361233e+02
9.729600000000000364e+02	4.599955026160427225e-16	4.066894634723911963e+02
9.732000000000000455e+02	3.966378000082973118e-16	4.070234498986122844e+02
9.734400000000000546e+02	3.837218807766808514e-16	4.071622589131484915e+02
9.736799999999999500e+02	4.677028993995859917e-16	4.097607727433318132e+02
9.739199999999999591e+02	4.332687429490875357e-16	4.098553024452064051e+02
9.741599999999999682e+02	3.774520773888021378e-16	4.102124741528350000e+02
9.743999999999999773e+02	3.660530976526728722e-16	4.103526397115825830e+02
9.746399999999999864e+02	4.444642162444082170e-16	4.129165350329125772e+02
9.748799999999999955e+02	4.116805455948535980e-16	4.130092349762689992e+02
9.751200000000000045e+02	3.602483135970911409e-16	4.133822649066553936e+02
9.753600000000000136e+02	3.500231148553701402e-16	4.135203074289680103e+02
9.756000000000000227e+02	4.278698597592205853e-16	4.160516294989368475e+02
9.758400000000000318e+02	3.962858177619413524e-16	4.161431378281630487e+02
9.760800000000000409e+02	3.454470348725842850e-16	4.165277257956263952e+02
9.763200000000000500e+02	3.362961014751907225e-16	4.166681098923735362e+02
9.765599999999999454e+02	4.160032432105786514e-16	4.191714784478803608e+02
9.767999999999999545e+02	3.847791581865650385e-16	4.192637051218196120e+02
9.770399999999999636e+02	3.313385696005449838e-16	4.196489656321661528e+02
9.772799999999999727e+02	3.225051903659615145e-16	4.197936135603174534e+02
9.775199999999999818e+02	4.090337154391817765e-16	4.222768295347500498e+02
9.777599999999999909e+02	3.785044917600022900e-16	4.223684793614341402e+02
9.780000000000000000e+02	3.181989229405776523e-16	4.227487410155999328e+02
9.782400000000000091e+02	3.101137715546759648e-16	4.228960564455327358e+02
9.784800000000000182e+02	4.068016649128645638e-16	4.253645100526373426e+02
9.787200000000000273e+02	3.773712504141782328e-16	4.254541610759949322e+02
9.789600000000000364e+02	3.487685982538077244e-16	4.255426533712922605e+02
9.792000000000000455e+02	2.985204192957749859e-16	4.259621245175293893e+02
9.794400000000000546e+02	2.922796107482047493e-16	4.261036814932883203e+02
9.796799999999999500e+02	3.822839474889643790e-16	4.285203768386609227e+02
